Result Number;Titolo;Descrizione;Immagine;Data;Link
125;PALERMO APRE LE PORTE;"Balletto in collaborazione con l'A.S.D. Cervino Dance Academy a cura di: I.T.C. ""F. Crispi"" - Sabato 18/05/2013 ore 11.30 - Museo I.T.C. Crispi.";http://www.comune.palermo.it/img/news/la_scuola_105.png;18-MAG-13;http://www.comune.palermo.it/noticext.php?id=1894
126;PALERMO APRE LE PORTE;Concerto Scuola Palermo Jazz special guest Giuseppe Milici - Sabato 18/05/2013 ore 16.00 - Villa Napoli e Piccola Cuba.;http://www.comune.palermo.it/img/news/la_scuola_105.png;18-MAG-13;http://www.comune.palermo.it/noticext.php?id=1893
127;PALERMO APRE LE PORTE;"Esibizione musicale del cantautore siciliano Francesco Giunta con gli alunni della scuola Pestalozzi Cavour - progetto ""Il Dialetto e Musica"" - Sabato 18/05/2013 ore 15.00 - Villa Napoli e Piccola Cuba.";http://www.comune.palermo.it/img/news/la_scuola_105.png;18-MAG-13;http://www.comune.palermo.it/noticext.php?id=1892
128;PALERMO APRE LE PORTE;Inagurazione di Villa Napoli e Esibizione della corale della scuola Ragusa Moleti diretta dal M° Edmondo Teodolito Negri con la partecipazione di Mirko Ciullo - Venerdì 17/05/2013 ore 9.00 - Villa Napoli.;http://www.comune.palermo.it/img/news/la_scuola_105.png;17-MAG-13;http://www.comune.palermo.it/noticext.php?id=1889
129;WORKSHOP - METTERE IN COMUNE;Per combattere impoverimento e precarietà. Pratiche di cittadinanza e Amministrazioni a confronto 17 e 18 maggio ai Cantieri Culturali alla Zisa.;http://www.comune.palermo.it/img/news/call_01.jpg;17-MAG-13;http://www.comune.palermo.it/noticext.php?id=1665
130;LA NOTTE DEI MUSEI;Torna l'ormai tradizionale appuntamento con la Notte dei Musei: sabato 18 maggio 2013, la Galleria d’Arte Moderna e il Museo etnografico siciliano G. Pitré rimarranno aperti a orario continuato dalle 9.30 fino a mezzanotte;http://www.comune.palermo.it/img/news/la_notte_dei_musei.png;17-MAG-13;http://www.comune.palermo.it/noticext.php?id=1898
131;IN DUO FORMICOLOR;""" In DUO formicolor"" mostra collettiva di Antonio Amorello e Massimiliano Scuderi dal 06/07/2013 al 11/07/2013 Galleria di Villa Niscemi (Piazza dei Quartieri, 2).";http://www.comune.palermo.it/img/news/amorello_01.png;06-LUG-13;http://www.comune.palermo.it/noticext.php?id=2173
132;389° FESTINO DI SANTA ROSALIA;"Ogni Santo Giorno - film di Ruggero Di Maggio - Atrio della Galleria d'Arte Moderna sabato 6 luglio ore 21,30. Evento realizzato nell'ambito delle celebrazioni del 389° Festino di S.Rosalia dedicato quest'anno a "" chi fa il futuro""";http://www.comune.palermo.it/img/news/festino2013.png;06-LUG-13;http://www.comune.palermo.it/noticext.php?id=2218
133;PALERMO USTICA PALERMO;"L'Associazione Sportiva Sea Club organizza la manifestazione "" Palermo Ustica Palermo"". Dal 5 al 7 Luglio 2013 - partenza venerdì 5 alle ore 9.30 dal golfo di Mondello. L'evento ha avuto il Patrocinio del Comune di Palermo.";http://www.comune.palermo.it/img/news/ustica_01.jpg;05-LUG-13;http://www.comune.palermo.it/noticext.php?id=1935
134;389° FESTINO DI SANTA ROSALIA;"Musica per Rosalia - Concerto dell'Ensemble Scarlatti - Piano della Cattedrale venerdì 5 luglio ore 19,00. Evento realizzato nell'ambito delle celebrazioni del 389° Festino di S.Rosalia dedicato quest'anno a "" chi fa il futuro""";http://www.comune.palermo.it/img/news/festino2013.png;05-LUG-13;http://www.comune.palermo.it/noticext.php?id=2217
135;389° FESTINO DI SANTA ROSALIA;Accademia in Mostra - Inagurazione mostra Invasioni 2013 a cura dell'Accademia di Belle Arti di Palermo - Spazi pubblici e privati della città giovedì 4 luglio ore 18,00.;http://www.comune.palermo.it/img/news/festino2013.png;04-LUG-13;http://www.comune.palermo.it/noticext.php?id=2215
136;389° FESTINO DI SANTA ROSALIA;"Musica per Rosalia - Concerto del Coro Polifonico del Balzo - Piano della Cattedrale giovedì 4 luglio ore 19,00. Evento realizzato nell'ambito delle celebrazioni del 389° Festino di S.Rosalia dedicato quest'anno a "" chi fa il futuro""";http://www.comune.palermo.it/img/news/festino2013.png;04-LUG-13;http://www.comune.palermo.it/noticext.php?id=2216
137;389° FESTINO DI SANTA ROSALIA;"Il cantiere della Festa - Inaugurazione. Concerto dell'orchestra e Coro giovanile di Brancaccio - Piano della Cattedrale 1 luglio ore 19,00. Evento realizzato nell'ambito delle celebrazioni del 389° Festino di S.Rosalia dedicato quest'anno a "" chi fa il futuro""";http://www.comune.palermo.it/img/news/festino2013.png;01-LUG-13;http://www.comune.palermo.it/noticext.php?id=2213
138;HONORIS CAUSA;""" HONORIS CAUSA"" Produrre sociale x fare comunità - dibattiti, teatro, musica, cinema, intrattenimento - dal 01/07/2013 al 12/07/2013 presso il Complesso Monumentale Chiaramonte Steri, Piazza Marina. L'evento si svolge in collaborazione tra l'Università e il Comune di Palermo.";http://www.comune.palermo.it/img/news/honoris_01.png;01-LUG-13;http://www.comune.palermo.it/noticext.php?id=2185
139;ITINERARI SUL MONTE PELLEGRINO;Associazione ITIMED - Pellegrino ieri e oggi: itinerario sul monte con Goethe - Itinerario Motivazionale del Benessere. Domenica 30 giugno 2013. L'evento ha avuto il Patrocinio del Comune di Palermo.;http://www.comune.palermo.it/img/news/pellegrino_01.png;30-GIU-13;http://www.comune.palermo.it/noticext.php?id=2156
140;PAROLE MUTE;""" Parole Mute"" mostra di pittura dell'artista Maria Catalano - dal 28/06/2013 al 04/07/2013, Galleria di Villa Niscemi (Piazza dei Quartieri, 2).";http://www.comune.palermo.it/img/news/catalano_01.png;28-GIU-13;http://www.comune.palermo.it/noticext.php?id=2122
141;SAN BENEDETTO IL MORO;"Festeggiamenti in onore di San Benedetto il Moro - dal 27 al 30 giugno 2013. La sera di venerdì 28 sarà proiettato il documentario ""Il Santo che vorresti"" con le interviste raccolte tra i fedeli. L'evento ha avuto il Patrocinio del Comune di Palermo.";http://www.comune.palermo.it/img/news/sanbenedetto_01.png;27-GIU-13;http://www.comune.palermo.it/noticext.php?id=2136
142;SUMMERGAM;"SUMMERGAM ""Arte da piantare!"" oggi nel chiostro della GAM c'è una particolare opera d'arte... Esploriamola insieme e lasciamo anche la nostra traccia! 27 giugno ore 9:30 presso la Galleria d'Arte Moderna.";http://www.comune.palermo.it/img/news/galleria_artemoderna_05.png;27-GIU-13;http://www.comune.palermo.it/noticext.php?id=2034
143;RASSEGNA CINEMATOGRAFICA;Rassegna Cinematografica dei paesi del gruppo Visegrad: Repubblica Ceca, Polonia, Slovacchia, Ungheria - dal 27 al 30 giugno 2013 Cinema De Seta Cantieri Culturali della Zisa. L'evento ha avuto il Patrocinio del Comune di Palermo.;http://www.comune.palermo.it/img/news/plakat_01.png;27-GIU-13;http://www.comune.palermo.it/noticext.php?id=2087
144;SUMMERGAM;"SUMMERGAM ""Arte da annusare e toccare..."" Secondo voi possiamo riconoscere a occhi chiusi un dipinto ad olio o uno a tempera? Proviamoci insieme e scopriremo che la carta d'identità dei dipinti può avere segni particolarissimi!. 25 giugno ore 9:30 presso la Galleria d'Arte Moderna.";http://www.comune.palermo.it/img/news/galleria_artemoderna_05.png;25-GIU-13;http://www.comune.palermo.it/noticext.php?id=2033
145;PERCORSI D'ARTE;""" PerCorsi d'Arte ’13 "", mostra collettiva degli allievi della Libera Scuola delle Arti Visive Mialò Art - dal 22 al 27 Giugno, Galleria di Villa Niscemi (Piazza dei Quartieri 2).";http://www.comune.palermo.it/img/news/percorsi_01.png;22-GIU-13;http://www.comune.palermo.it/noticext.php?id=2088
146;BUSINESS FORUM;"MhD Consulting organizza il Business Forum "" Partenariato Sicilia – Costa d’Avorio"", 21 e 22 giugno 2013 presso l'Orto Botanico dell’Università di Palermo. L'evento ha avuto il Patrocinio del Comune di Palermo.";http://www.comune.palermo.it/img/news/business-forum_01.jpg;21-GIU-13;http://www.comune.palermo.it/noticext.php?id=1862
